FID,ZONE,ROW_,WEST_VALUE,CM_VALUE,EAST_VALUE
756,12,P,114W,111W,108W
757,7,S,144W,141W,138W
758,46,G, 90E, 93E, 96E
759,38,J, 42E, 45E, 48E
760,13,P,108W,105W,102W
761,8,S,138W,135W,132W
762,47,G, 96E, 99E,102E
763,39,J, 48E, 51E, 54E
764,40,J, 54E, 57E, 60E
765,48,G,102E,105E,108E
766,41,J, 60E, 63E, 66E
767,42,J, 66E, 69E, 72E
768,49,G,108E,111E,114E
769,9,S,132W,129W,126W
770,14,P,102W, 99W, 96W
771,43,J, 72E, 75E, 78E
772,50,G,114E,117E,120E
773,44,J, 78E, 81E, 84E
774,51,G,120E,123E,126E
775,52,G,126E,129E,132E
776,53,G,132E,135E,138E
777,45,J, 84E, 87E, 90E
778,54,G,138E,141E,144E
779,46,J, 90E, 93E, 96E
780,55,G,144E,147E,150E
781,47,J, 96E, 99E,102E
782,56,G,150E,153E,156E
783,48,J,102E,105E,108E
784,57,G,156E,159E,162E
785,49,J,108E,111E,114E
786,58,G,162E,165E,168E
787,59,G,168E,171E,174E
788,60,G,174E,177E,180E
789,15,P, 96W, 93W, 90W
790,1,F,180W,177W,174W
791,10,S,126W,123W,120W
792,2,F,174W,171W,168W
793,16,P, 90W, 87W, 84W
794,3,F,168W,165W,162W
795,11,S,120W,117W,114W
796,50,J,114E,117E,120E
797,4,F,162W,159W,156W
798,12,S,114W,111W,108W
799,13,S,108W,105W,102W
800,5,F,156W,153W,150W
801,14,S,102W, 99W, 96W
802,6,F,150W,147W,144W
803,15,S, 96W, 93W, 90W
804,17,P, 84W, 81W, 78W
805,7,F,144W,141W,138W
806,16,S, 90W, 87W, 84W
807,18,P, 78W, 75W, 72W
808,8,F,138W,135W,132W
809,17,S, 84W, 81W, 78W
810,19,P, 72W, 69W, 66W
811,9,F,132W,129W,126W
812,18,S, 78W, 75W, 72W
813,10,F,126W,123W,120W
814,19,S, 72W, 69W, 66W
815,20,P, 66W, 63W, 60W
816,20,S, 66W, 63W, 60W
817,11,F,120W,117W,114W
818,12,F,114W,111W,108W
819,21,P, 60W, 57W, 54W
820,13,F,108W,105W,102W
821,14,F,102W, 99W, 96W
822,21,S, 60W, 57W, 54W
